Transaction ID,Store,Customer Type,Gender,Category,Unit Price,Quantity,Total,Date,Day,Payment,Rating
TXN-2424,West Hills Mall,Normal,Male,Electronics,81.02,3,243.06,2023-06-18,Saturday,Credit Card,8.4
TXN-9928,West Hills Mall,Member,Male,Cosmetics,73.41,1,73.41,2023-06-23,Saturday,Cash,7.4
TXN-6574,Kumasi City Mall,Normal,Female,Clothing,244.73,1,244.73,2023-06-14,Tuesday,Credit Card,8.6
TXN-1711,Kumasi City Mall,Member,Male,Clothing,36.9,2,73.8,2023-05-09,Wednesday,Mobile Money,6.2
TXN-4733,West Hills Mall,Member,Male,Cosmetics,170.09,6,1020.54,2023-01-02,Saturday,Mobile Money,7.5
TXN-5374,Kumasi City Mall,Normal,Male,Electronics,90.61,6,543.66,2023-02-22,Wednesday,Cash,5.0
TXN-4598,West Hills Mall,Member,Male,Stationery,164.9,4,659.6,2023-03-21,Thursday,Credit Card,5.0
TXN-6155,West Hills Mall,Member,Male,Groceries,243.46,7,1704.22,2023-05-23,Tuesday,Cash,5.6
TXN-8019,Accra Mall,Normal,Female,Stationery,51.43,3,154.29,2023-05-09,Friday,Mobile Money,5.5
TXN-3621,West Hills Mall,Member,Female,Cosmetics,157.76,2,315.52,2023-01-05,Sunday,Cash,8.5
TXN-2876,West Hills Mall,Normal,Male,Cosmetics,182.81,8,1462.48,2023-01-22,Friday,Mobile Money,7.2
TXN-5315,West Hills Mall,Normal,Female,Furniture,42.35,7,296.45,2023-06-24,Monday,Credit Card,4.9
TXN-9689,West Hills Mall,Normal,Male,Clothing,254.08,4,1016.32,2023-02-18,Sunday,Credit Card,4.9
TXN-1949,Accra Mall,Member,Female,Furniture,42.44,6,254.64,2023-03-08,Sunday,Mobile Money,9.3
TXN-5342,Accra Mall,Normal,Male,Furniture,246.65,3,739.95,2023-05-06,Thursday,Cash,4.8
TXN-9479,West Hills Mall,Member,Female,Furniture,216.76,7,1517.32,2023-03-15,Saturday,Cash,10.0
TXN-1964,Kumasi City Mall,Member,Male,Electronics,108.04,4,432.16,2023-01-23,Monday,Cash,7.5
TXN-8744,Accra Mall,Member,Male,Electronics,159.11,5,795.5500000000001,2023-05-05,Tuesday,Mobile Money,8.0
TXN-1887,Accra Mall,Member,Female,Cosmetics,38.11,7,266.77,2023-04-28,Thursday,Cash,6.1
TXN-3296,West Hills Mall,Normal,Male,Stationery,221.18,2,442.36,2023-05-15,Tuesday,Cash,5.5
TXN-1828,Kumasi City Mall,Member,Female,Clothing,263.6,2,527.2,2023-05-04,Sunday,Mobile Money,6.7
TXN-3697,West Hills Mall,Member,Male,Furniture,58.23,8,465.84,2023-04-02,Sunday,Cash,6.9
TXN-9883,Kumasi City Mall,Normal,Female,Electronics,92.72,8,741.76,2023-02-02,Wednesday,Mobile Money,4.9
TXN-4044,Accra Mall,Member,Female,Stationery,179.41,3,538.23,2023-01-28,Friday,Cash,4.3
TXN-7868,Accra Mall,Member,Male,Furniture,127.09,4,508.36,2023-05-03,Monday,Credit Card,7.5
TXN-5915,West Hills Mall,Member,Female,Furniture,204.22,6,1225.32,2023-02-22,Thursday,Mobile Money,5.4
TXN-3170,Kumasi City Mall,Normal,Male,Groceries,190.14,2,380.28,2023-05-09,Tuesday,Cash,4.4
